Film Adı,Türler,Özet
Bay ve Bayan Smith,"Aksiyon, Komedi, Dram, Gerilim","John ve Jane Smith, renksiz bir evlilik süren sıradan bir şehirli çifttir. Ancak her ikisi de diğerinin öğrenmek için cinayet işleyebileceği bir sır gizlemektedir: Bay ve Bayan Smith, yüksek ücretli, olağanüstü kiralık katildirler ve rakip kurumlar için çalışmaktadırlar. Bay ve Bayan Smith, birbirlerini öldürmek için kiralandıklarında evliliklerinde yeni bir heyecan kaynağı bulurlar ve eğlence başlar. Bay ve Bayan Smith, ölümcül yeteneklerini ortaya koyup evliliklerini müthiş bir sınava soktuklarında sonuç muhteşem bir macera yapıtına dönüşür."
Dragon Ball: Büyük Mistik Macera,"Aksiyon, Animasyon","Usta Roshi, en çok değer verdiği görevlerden birini başardı: Goku ve Krillin'i en iyi savaşçılar olacak şekilde eğitmek. Bu yüzden İmparator Chiaotzu'nun ev sahipliği yaptığı bir yarışmada cesaretlerini test etmeleri için onları ayarlar. Ancak hükümdarın hane halkının bir üyesi olarak, Dragonball'ları kraliyetten zorla para ve güç almak için kullanma planlarının bir üyesi olarak herkes kurallara göre oynamıyor."
Buz Devri: Buck Wild'ın Maceraları,"Animasyon, Komedi, Macera, Aile","Heyecan arayan sıçan kardeşler Crash ve Eddie kendilerine ait bir yer bulmak için yola çıkar. Ancak onlar kendilerini yerin altındaki devasa bir mağara olan Kayıp Dünya'da kapana kısılmış bir halde bulur. Gelincik Buck Wild tarafından kurtarılan Crash ve Eddie, Kayıp Dünya'yı dinozor egemenliğinden kurtarmak için birlikte harekete geçer."
Kötü Kızlar,Komedi,"Okulun yeni öğrencisi olan Cady Heron, işbirlikçi kraliçe arı Regina George ve yardakçıları Gretchen ve Karen liderliğindeki ""Plastikler"" adlı popüler kız grubuna dahil olur. Ancak Cady, Regina'nın eski erkek arkadaşı Aaron Samuels'e aşık olmak gibi büyük bir hata yaptığında, kendisini Regina'nın hedefinde bulur. Cady, dışlanmış arkadaşları Janis ve Damian'ın yardımıyla grubun en büyük yırtıcısını alt etmeye çalışırken, en acımasız ormanda yol alırken kendine nasıl sadık kalacağını öğrenmesi gerekir."
劇場版 推しが武道館いってくれたら死ぬ,"Dram, Komedi",
Bir Zamanlar… Hollywood'da,"Komedi, Dram, Gerilim","Rick Dalton, bir televizyon filmi aktörüdür. Dalton'ın başarılı bir western dizisi bulunmaktadır. Ancak Rick, kendini televizyondan uzaklaştırıp film sektörüne adım atmak istemektedir. Onun dublörü olan Cliff Booth ise bu konuda ona katılmaktadır. Ancak ikilinin yaşlarının ilerlemesiyle birlikte Hollywood'taki şansları da azalmaktadır. Hollywood'un yeni gözdelerinden olan Sharon Tate ise Rick'in komşusudur. Ancak Hollywood'un ışıltılarla dolu ve pervasız akışı, Tate'in ve dört arkadaşının Charles Manson tarikatı tarafından katledilmesiyle kesilecektir…"
Sesin Şekli,"Animasyon, Dram","Sesleri duyabilen Ishida Shouya ve onun aksine sesleri duyamayan sağır nakil öğrenci Nishimiya Shoko… İkili uğursuz bir günde tanışır ve sınıfın liderlerinden diyebileceğimiz Shouya, Shoko’ya zorbalık etmeye başlar. Ama çok geçmeden sınıf hedefini Shoko’dan kabadayılık yapan Shouya’ya çevirir. Aradan yıllar geçer ve Shouya bir kez daha Shoko ile buluşması gerektiğini hisseder."
How to Train Your Dragon: Homecoming,"Animasyon, Fantastik, Macera, Aksiyon, Aile",
İdamdan Kaçanlar,Vahşi Batı,Ailesini acımasızca katledenlerden intikam almak isteyen genç bir silahşor tehlikeyi ve sevgiyi bir arada bulacağı bir yolculuğa çıkar.
Ölümsüz Aşk,"Romantik, Fantastik, Dram","Bir çağ değişirken doğmuş olan bir kadın, geçirdiği bir kaza sonucu hiç yaşlanmamakla 'ödüllendirilir'. Mucizevi bir şekilde neredeyse 80 yıldır, 29 yaşında kalmayı başaran Adaline Bowman, münzevi bir hayat sürüyor, sırrını ortaya çıkarabilecek hiç kimseyle fazla yakınlaşmıyordu. Tesadüfen karizmatik yardımsever Ellis Jones'la tanışması hayata ve aşka duyduğu tutkuyu yeniden tetikler. Ellis'in anne babasıyla geçirdiği bir hafta sonu, gerçeğin ortaya çıkması tehlikesi yaratınca Adaline, hayatını sonsuza dek değiştirecek bir karar verir."
Kar Küreyici,"Aksiyon, Bilim-Kurgu, Dram","Hikaye gezegendeki neredeyse tüm insanları öldüren küresel ısınmayı durdurmak için yapılan başarısız bir deney nedeniyle gerçekleşen buz çağında geçiyor. Hayatta kalan insanlar Snowpiercer isimli bir trende yaşamaktadır. Bu insanlar aynı zamanda trende uygulanan sınıf sistemiyle de mücadele etmektedir. Filmle ilgili gayet açıklayıcı bilgiler verilmiş. Filmin arkasında Koreli senarist/yönetmen Bong Joon-ho bulunuyor. Bong son iki filmi Mother ve The Host’ta ne kadar yetenekli olduğunu gösterdi. İlk İngilizce dilindeki filmi olacak Snowpiercer için seçtiği oyuncu kadrosu da harika görünüyor: Chris Evans, Song Kangho, Tilda Swinton, Jamie Bell, Octavia Spencer, Ewen Bremner, Alison Pill, John Hurt ve Ed Harris..."
Wanted Man,Aksiyon,"Bir kartel çatışması birkaç DEA görevlisini öldürdüğünde, yaşlanan bir polis memuru bir görgü tanığı bulmalı ve ona sınırın ötesine kadar eşlik etmelidir. Ancak saldırının Amerikan güçleri tarafından yapıldığını öğrendiğinde artık hangi tarafa güveneceğini bilemez."
Aladdin,"Macera, Fantastik, Romantik, Aile","Aladdin, zamanını Agrabah şehrinde pazardan yiyecek çalarak geçiren fakir bir gençtir. Gecelerini, şehrin farklı bölgelerinde uyuyarak geçirirken, gündüzlerini ise hırsızlığa ayırmaktadır. Ancak yaşam tarzına rağmen aslında Aladdin'in altın gibi bir kalbi vardır. Onun macerası, tuhaf babası tarafından zorla evlendirilmeye çalışılan bir genç kızla tanıştığı zaman başlar. Bu genç kız aslında ülkenin sultanının kızı olan Prenses Jasmine'dir. Aladdin'in şansı, Harikalar Mağarası'ndan sihirli bir lamba aldığında aniden değişir. Bilmeden aldığı bu lambada, eğlenceye düşkün, neşeli ve 3 dileğini gerçekleştirme şansına sahip olan bir cin vardır. Aladdin'in lambanın cini sayesinde sevdiği kıza ulaşmaya çalışırken bilmediği şey ise Sultan'ın danışmanı Jafar'ın hem Aladdin hem de lamba için kendi planları olduğudur..."
Bambi,"Animasyon, Dram, Aile","Bize Arkadaşlığın ve Ailenin Gücünü Öğreten Film  Mucize, müzik ve ihtişamın hayat bulduğu Walt Disney'in en değerli hazinesi, şimdi dijital olarak yenilenen versiyonuyla evlerinize geliyor!  Walt Disney'in unutulmaz masalı Bambi, nefesinizi kesecek çizimleri, sıcacık müziği ve en sevdiğiniz karakterleriyle, her yaştan hayranının kalbine dokunacak. Kocaman gözlü yavru geyik Bambi, onun şakacı arkadaşı Thumper, sevimli kokarca Flower ve bilge arkadaşları Baykuş'un hikayesi, ""Walt'un Hikaye Toplantıları"" sevenleriyle buluşuyor."
Joe Black,"Fantastik, Dram, Romantik","Bill Parish (Anthony Hopkins) bu dünyada bir insanın sahip olabileceği herşeye sahiptir: Güç, para, başarı ve mutlu bir aile… Ama mutlu dünyası 65. yaşgününden birkaç gün önce, esrarengiz yabancı Joe Black’in (Brad Pitt) ziyaretiyle altüst olacaktır. Zira bu herhangi bir genç adam değil, Parish’in canını almaya gelen Ölüm’dür. Doğumgününü ailesiyle kutladıktan sonra hayata veda etmeyi tercih eden Bill, dünyada geçireceği fazladan birkaç güne karşılık Ölüm’ün dünyadaki rehberi olmayı kabul eder. Ölüm ise dünyanın tüm nimetlerini, en başta da aşkı tadacaktır… Ancak aşık olduğu kişinin Parish’in güzel kızı Susan (Claire Forlani) olması, Bill’in dünyadaki son günlerini oldukça çetin kılacak gibidir."
Daire,Gerilim,"Birbirlerini uzun süredir tanıyan 5 erkek, gizli kalmasını istedikleri tek gecelik ilişkileri için bir daire tutmuşlardır. Ancak günün birinde dairelerinde bulunan ve hiçbirinin tanımadığı bir genç kadının cesedi, arkadaşlıklarını sorgulamalarına neden olur.  Film, 2008'de Belçika ve 2010'da Hollanda'da çekilen aynı isimli filmlerin Amerikan versiyonu olma özelliğini taşıyor."
Star Wars: Skywalker'ın Yükselişi,"Macera, Aksiyon, Bilim-Kurgu","Star Wars: Skywalker'ın Yükselişi ile izleyiciler uzak, çok uzak bir galakside destansı bir yolculuğa çıkarmak için bir kez daha güçlerini birleştiriyor. Çığır açan Skywalker destanının merakla beklenen ve yeni efsanelerin doğacağı sonunu ve yaşanacak son özgürlük savaşını izleyin."
Yıldız Unicorn Thelma,"Animasyon, Fantastik, Aile","Bir gün yıldız olmayı hayal ederek şarkı söyleyen bir midilli, bir anda parıltılı bir tek boynuzlu ata dönüşünce şöhretin heyecan dolu bir macera olduğunu anlar."
Çömezler,Komedi,"Lisenin ilk haftası. Yılın en büyük partisi. Dört genç oğlan, kargaşa ve sefahat dolu bir gecede yollarını bulmaya çalışırken birçok hata yapar."
Homestead,"Aksiyon, Dram, Gerilim",
Megan,"Bilim-Kurgu, Korku","Gemma, yakın zamanda yetim kalmış olan yeğeni Cady'e destek olması ve arkadaşlık etmesi için bir robot tasarlar. Ancak küçük kız ile duygusal olarak bağ kurmaya programlanmış insansı robot, programlaması fazla iyi işlediği için yeni arkadaşı konusunda aşırı korumacı bir hale gelir. Bu korkutucu bağlanma durumu pek çok tehlikeyi de beraberinde getirir."
Tatlı Bela,"Romantik, Dram, Komedi","Kötü çocuk Travis Maddox, üniversite birinci sınıf öğrencisi Abby Abernathy'nin tam olarak ihtiyaç duyduğu ve istediği şeydir. Bir gün Travis ve Abby, bir bahse girer. Genç adam kaybederse bir ay seksten uzak durmak zorunda kalacak, Abby kaybederse bir ay Travis ile yaşamak zorunda kalacaktır."
Yaratık: Covenant,"Bilim-Kurgu, Korku, Gerilim","Covenant adlı bir gemi, sakin ve bilinmeyen bir gezegene iniş yapar. Tayfa, başlangıçta gezegeni keşfedilmemiş bir cennet olarak görse de, karanlık kendini gösterdiğinde ekibin fikri değişecektir."
Cehennem Melekleri 3,"Aksiyon, Macera, Gerilim","Barney Ross, Lee Christmas ve ekibi hayatlarının en zorlu mücadelesiyle karşı karşıyalar! Bir zamanlar Barney ile birlikte ekibin kurulmasında rol alan Conrad Stonebanks, şimdilerde silah satıcısı olarak çalışmaktadır ve bu durum ekibin geri kalanını rahatsız eder. Bu nedenle Stonebanks ekibi dağıtmayı kafasına koymuştur. Barney ise karşı bir hamle olarak, yeni ve genç üyelerin de eklendiği ekibini yeniden toplar. Artık ekipmanları ve teknikleri de daha güçlü ve moderndir. Ancak karşılarına çıkacak her türlü kötülüğe tam olarak hazırlıklı mıdırlar?"
Nefret Dolu,"Dram, Gizem, Vahşi Batı","İç Savaş'tan birkaç sene sonra... Bir posta arabası, kış soğuğu yaşayan Wyoming'den geçer. Yolcular, cellat John Ruth ve yakaladığı kaçak Daisy Domergue, Domergue'nun adalete teslim edilmesi için Red Rock kasabasına doğru hızla yol alır. Yolda iki yabancıyla tanışırlar: Biri, kötü şöhretli bir ödül avcısı olan, zenci bir eski federasyon askeri Binbaşı Marquis Warren ve diğeri de kasabanın şerifi olduğunu iddia eden güneyli haydut Chris Mannix 'tir. Tipide yollarını kaybeden Ruth, Domergue, Warren ve Mannix, bir dağ geçidindeki konaklama yeri olan Minnie'nin Tuhafiyesi'ne sığınır. Onları mekânın sahibi değil, dört yabancı karşılar: Minnie'nin yerine göz kulak olan Bob, Red Rock celladı Oswaldo Mobray, Kovboy Joe Gage ve General Sanford Smithers. Fırtına hızlanırken sekiz gezginimiz, Red Rock'a hiç varamayabileceklerini öğrenir."
SüngerBob KarePantolon,"Aile, Animasyon, Komedi, Fantastik, Macera","King Neptune'ün tacı çalınınca Bikini Bottom'da her şey alt üst olur. Tüm deliller, suçu Mr. Krabs'ın işlediğini göstermektedir. Buna inanmayan Sünger Bob, en yakın dostu Patrick'i de yanına alarak Shell City'ye gitmek üzere yola çıkar. Çalınan tacı zamanında bulup geri getirirse Mr. Krabs'ı da kurtaracaktır."
Salak ile Avanak,Komedi,"Hiçbir işte dikiş tutturamayan zevzek ikili Jim Carrey ve Jeff Daniels, para dolu bir çantayı güzel sahibine ulaştırmak için macera dolu bir yolculuğa çıkarlar.Bu arada polisleri, haydutları ve yollarına çıkma gafletinde bulunan diğer şanssızları şaşkına çevirirler.Silinmiş ve alternatif sahneleri, detaylı yapım süreci yorumları ve fazladan dakikaları ile bu film tüm zamanların en budalaca muzipliklerini sunuyor."
İhtiyarlara Yer Yok,"Suç, Dram, Gerilim","Kötü giden bir uyuşturucu işi ve bir çanta dolusu para masum bir avcının, emektar bir şerifin ve acımasız bir kiralık katilin yolunu ıssız Batı Teksas çölünde kesiştirir."
斗破苍穹3：除恶,"Macera, Aksiyon, Fantastik",
Köstebek,"Dram, Gerilim, Suç","Güney Boston’da büyümüş olan genç çaylak Billy Costigan’a, Costello’nun çetesine sızma görevi verilir. Billy, Costello’nun güvenini kazanmaya çalışırken, “Güney Yakası”nın sokaklarından gelen bir başka genç polis Colin Sullivan da eyalet polis teşkilatında basamakları hızla tırmanmaktadır. Üstlerinin bilmediği şey, Colin’in Costello için çalıştığı ve suç patronunun polisin hep bir adım önünde olmasını sağladığıdır. Her iki adam da, içine sızdıkları organizasyonun planları ve karşı planları hakkında bilgi toplarken, sürdürdükleri çifte yaşamları yüzünden oldukça zorlanmaktadırlar. Ama hem gangsterler hem polisler aralarında bir köstebek olduğunu anlayınca, Billy ve Colin sürekli olarak düşman tarafından yakalanma tehlikesiyle karşı karşıya kalırlar."
Arınma Gecesi: Sonsuza Dek,"Aksiyon, Korku, Gerilim","12 saat boyunca tüm suçların serbest olmasıyla birlikte yaşanan olayları konu edinen Arınma Gecesi filminin 5. devam halkası olan yapımın oyuncu kadrosunda Ana de la Reguera, Gregory Zaragoza, Tenoch Huerta, Emily Trujillo gibi isimler yer alıyor. Yönetmen koltuğunda Everardo Gout'un oturduğu filmin senaryosunu James DeMonaco kaleme alıyor."
PAW Patrol Filmi,"Animasyon, Aile, Macera, Komedi","Paw Patrol dizisinin sinema filmi, şehrin kahraman köpekleri Ryder ve arkadaşlarının, Macera Şehri'ni kaosa sürükleyen belediye başkanı Humdinger'a karşı verdikleri mücadeleyi anlatıyor."
Lucy,"Aksiyon, Bilim-Kurgu","Tayvan'ın başkenti Taipei'nin suça batmış yeraltı dünyası sokak çeteleri, mafya ve işbirlikçi polisler tarafından yönetilirken en aktif ticaret, uyuşturucu ağı üzerinden yürütülür. Eğlenmeyi seven, sıradan bir genç kadın olan Lucy Miller, birkaç gece beraber takıldığı Richard yüzünden kendisini bir anda en azılı uyuşturucu şebekelerinin birinin içine düşmüş bulur. Vücudunun içine kurye olması için yerleştirilen yeni bir tür sentetik uyuşturucu, beklenmedik bir şekilde Lucy'nin vücuduna nüfuz edip kanına karışmaya başlayınca mucizevi bir durumla yüzleşir. Lucy'in damarlarında dolaşan kimyasallar, ona insanüstü yetenekler kazandırmıştır. Artık akıl okuma, telekinezi ve acıyı hissetmeme gibi güçlere sahip olan genç kadın beyni tüm algı kapılarını sonuna kadar açacaktır."
Anahtar,"Dram, Romantik","Uzun yıllar boyunca standart bir şekilde ilerleyen evliliğinin ardından karısı Teresa'nın cinsel dürtülerini uyandırmaya karar veren Profesör Nino Rolfe, gizli arzularını kaleme aldığı günlüğünü karısı tarafından ""tesadüfen"" bulunması için uygun bir yere bırakır. Bir süre sonra Teresa da aynı şeyi yapmaya başlar ve bu durum ikisi arasında bir kedi-fare oyununa dönüşür. Tinto Brass'ın, Junichirô Tanizaki'nin romanında büyük değişiklikler yaparak kendi sinemasına adapte ettiği La Chiave, Brass'ın genel yönteminin zıddına karakterler ve kurgu açısından da dolu ve başarılı olmasıyla takdir edilmiştir ve bu farklılığa rağmen her sahnesiyle auteur'ünün adını aklımızda yankılatmaya devam etmektedir."
Megazeka,"Animasyon, Aksiyon, Komedi, Aile, Bilim-Kurgu","Kötü adam Oobermind en büyük rakibi Metro Man'i yendiğinde tüm dünya ayaklarının altında olacaktı. Ancak aksine, Oobermind'ın canı sıkıldı. Onun için rakibin olmadığı bir hayatın amacı olmayan bir hayat olduğu ortaya çıktı. O da yeni bir süper kahraman rakip yarattı kendine. Ne var ki yeni kahraman da kötü adam olmak istemekteydi. Yeni güçlü adam dünyayı yok etme savaşını başlattığında, Oobermind’ın karar vermesi gerekir: Kendi yarattığı bu şeytanı yenebilir mi?"
Yarımada,"Korku, Aksiyon, Gerilim",Güney Kore’yi saran zombi istilasından Hong Kong’a kaçmayı başaran bir asker 4 yıl sonra Incheon şehrinde terk edilmiş yüklü miktarda parayı Hong Kong’a getirmek için yanındakilerle beraber Kore Yarımadası’na döner. Yarımadada onları bekleyen tek tehlikenin zombiler olmadığını anlamaları uzun sürmeyecektir.
Harry Potter 20. Yıldönümü: Hogwarts'a Dönüş,Belgesel,"Daniel Radcliffe, Emma Watson ve Rupert Grint de olmak üzere tüm ""Harry Potter"" filmlerindan oyuncular, ilk filmin 20. yıldönümünü kutluyor! Pek çok röportajı içeren bu retrospektifte, oyuncular orijinal Hogwarts setinde bir araya gelecek. Ayrıca, geçmiş sekiz filme dair özel detaylara da yer verilecek."
Sensiz Olmaz,"Dram, Romantik","Birkaç seneliğine Londra'ya taşınan Hache, Barcelona'ya döndüğünde hiçbir şeyi bıraktığı gibi bulamaz. Kendisi de dahil olmak üzere birçok şey değişirken, aynı kalan tek şey Babi'ye duyduğu aşktır. Ne var ki Babi bu süreçte hayatını yeniden inşa etmeye koyulmuş ve başka biriyle nişanlanmıştır. Bunu öğrenen Hache de böyle bir karar alır ve arkadaşları, işi ve çevresi olmak üzere her şeyi değiştirmeye başlar. Gin isimli kendine oldukça benzeyen bir kadınla tanışır ve aralarında uyumlu bir ilişki başlar. Ancak bir partide karşılaştığı Babi, onu şaşkına çevirir ve aklını karıştırır. Hache artık hiçbir şeye ya da hiç kimseye inanmadığı bir döneme girmiş; zamanını ise güçlü olmaya çalışarak geçirmeye başlamıştır..."
Pearl Harbor,"Savaş, Tarih, Romantik, Dram, Aksiyon","Eskiden beri aralarında derin bir dostluk bulunan iki arkadaş, savaşa gitmenin arifesindedirler. İkinci Dünya Savaşı tüm vahşetiyle sürmektedir ve savaşa dahil olan Amerika Birleşik Devletleri, kendi kaderini belirlemek üzeredir. Savaş bu iki insanı da içine katarak dev bir liman baskınıyla derin bir vahşet sunacaktır. Savaş her zamanki gibi görkemli ve kanlıdır."
Kuralsız,"Aksiyon, Bilim-Kurgu, Gerilim","Futüristik bir distopyada geçen öyküde, beş farklı fraksiyona bölünen bir toplumun tüm yaşantısının bu hiyerarşik yapı üzerine inşa edildiğini ve belli bir yaşa gelen gençlerin kendileri için biçilen sınıflardan birine dahil edilerek eğitilmelerini izlemiştik. Bu hiyerarşik yapılanma içerisinde kendine has bir kategoriye sahip olan Tris ise, öykünün finalinde hem çevresindeki insanları hem de işleyen bu düzeni değiştirecek güce sahip olduğunu keşfetmişti."
Ağaçkakan Woody Yaz Kampında,"Aile, Komedi, Animasyon","Ormandan kovulan Woody, Kamp Vuhu'da ömürlük yuvasını bulduğunu düşünür. Ancak bir müfettiş, kampı kapatmakla tehdit eder."
Exorcist: İnançlı,"Korku, Gerilim","Victor Fielding, 12 yıl önce hamile karısının Haiti’deki bir depremde ölümünden sonra kızı Angela’yı tek başına yetiştirmiştir. Ama Angela ve arkadaşı Katherine, ormanda kaybolup üç gün sonra başlarına gelen olayları hiç hatırlamayarak geri geldiklerinde bir dizi olay ortaya çıkarak Victor’u şeytanın en kötü haliyle yüzleşmeye zorlar. Victor, ümitsizlik ve dehşet içinde benzer bir olaya tanık olmuş, yaşamakta olan tek kişi, Chris MacNeil’ı arar."
Defying Gravity: The Curtain Rises on Wicked,Belgesel,
Ejder Topu Z: Bardock - goku ' nun Babası,"Animasyon, Aksiyon, Bilim-Kurgu, Dram, Fantastik","Son Goku'nun babası Bardock, az önce gördüğü bir gezegendeki son kalan yabancı tarafından geleceğe bakma yetkisi verilen düşük dereceli bir Saiyan askeri. Yarışın yıkımına tanıklık ediyor ve şimdi Frieza'nın yaklaşan katliamını durdurmak için elinden geleni yapmalı."
Kod Adı: Angel,"Aksiyon, Gerilim","Kod Adı Angel, düzenlenen bir suikastın sorumlusu olarak görülen bir adamın kendisini aklamak için verdiği mücadeleyi konu ediyor. Gizli servis üyesi Mike Banning, Başkan Allan Trumball'un korumalığını yapmakla görevlidir. Başkan Trumball'un hayatını tehdit eden bir Hava Kuvvetleri saldırısının yaşanması, Banning’in hayatının değişmesine neden olur. Banning, Hava Kuvvetleri'nin yaptığı uçuşun ortasında terörist saldırıların hedefi haline gelir. Yaşanan saldırının ardından ise karalama kampanyasının hedefinde Mike Banning vardır. Başkana düzenlenen suikastın sorumlusu olarak gösterilen Banning, gerçekleri ortaya çıkarmaya kararlıdır. Ancak bunu yapması pek de kolay değildir. Banning, bir yandan saldırının ardındaki isimleri ortaya çıkarmaya çalışırken bir yandan da kendi ajansından ve FBI’dan kaçmak zorunda kalır."
Gecikme,"Bilim-Kurgu, Gerilim, Korku","Akut agorafobi hastası olan profesyonel oyuncu Hana, oyununu geliştiren yeni ekipman aldığında, bunun aklını mı okuduğunu yoksa onu kontrol edip etmediğini merak etmeye başlar."
Sindirella II: Rüyalar Gerçek Oluyor,"Aile, Animasyon, Romantik, Fantastik","Cinderella muhteşem bir yaşam sürmektedir, ta ki üvey annesi sihirli değneği ele geçirene kadar. Üvey anne, zamanı geri alarak Prens’in baloda Cinderella ile tanışma anını siler ve “sonsuza kadar mutlu” yaşamalarına engel olur. Jag ve Gus, süre dolmadan günü kurtarmak zorundadırlar. Fakat gerçekten bu Cinderella’nın sadece bir rüyası mıdır, yoksa gerçek aşk hepsinin üstesinden gelebilecek midir?"
Çılgın Aptal Aşk,"Komedi, Dram, Romantik","Dışarıdan bakıldığında Cal Weaver'ın (Steve Carell) kusursuz bir hayatı vardır: mükemmel bir işe, harika bir eve sahiptir ve gençlik aşkı karısı olmuş, ona sevimli çocuklar vermiştir. Fakat Cal'in gördüğü Amerikan rüyasından karısı Emily'nin (Julianne Moore) onu aldattığını ve dahası ayrılmak istediğini öğrenerek uyanır.Artık 40'ında yalnız bir adam olan Cal çapkınlıkta ve flörtleşmekte genç Jacob (Ryan Gosling), o kadar iyi değildir. Bir barda taşıtığı Jacob'ta gerçekten şeytan tüyü vardır ve Cal'a bekar bir hayat sürdürmenin püf noktalarını bu adam öğretecektir. Bir yandan da ergenliğe giren çocuklarıyla ilişkisini dengelemeye çalışan Cal kendini bir aşk üçgenini çözmeye çalışırken bulur!"
John Rambo,"Aksiyon, Gerilim, Savaş","Afganistan olayının üzerinden 20 yıl geçmiştir ve John Rambo artık Tayland'da, Myanmar sınırına yakın bir yerde teknede yaşamaktadır. Bir gün Sarah ve Michael Bennett önderliğindeki bir grup misyoner, insani yardım ulaştırmak için Burma'ya gelmişlerdir. Rambo'dan karayolları mayın döşenmiş olduğu için onları nehirden geçirip köylere ulaştırmasını isterler. Rambo başta reddetse de en sonunda kabul eder ve grubu istedikleri yere bırakır. Bir hafta sonra grubun bağlı olduğu kiliseden bir rahip, Rambo'yu bulur ve grubun kaybolduğunu, elçiliğin yardım edemediğini ve bu yüzden de paralı askerler tuttuğunu anlatır. Rambo'dan istediği ise askerleri nehirden geçirmesidir. Rambo tekrardan kendini savaşın içinde bulacaktır."
Mala influencia,"Dram, Gerilim, Romantik",
Uçak,"Aksiyon, Macera, Gerilim","Pilot Brodie Torrance, yıldırım düşmesi sonucu hasar alan uçağı savaş alanına dönmüş bir adaya indirerek yolcuları kurtarır. Fakat bu inişin hayatta kalma mücadelesinin sadece başlangıcı olduğunu fark eder. Bütün yolcular tehlikeli zorbalar tarafından rehin alındığında, Torrance’in yardım isteyeceği tek bir kişi vardır; bu, cinayetle suçlanan ve FBI tarafından başka bir yere transfer edilen Louis Gaspare’in kendisidir ve onda gördüğünden çok daha fazlası olduğunu öğrenecektir."
Aşk Her Yerde,"Komedi, Romantik, Dram","Notting Hill ve Bridget Jones's Diary'nin yapımcılarından romantizm rüzgarları. Birbirinden ünlü oyuncuları ve olağanüstü müzikleriyle film uzun süre akıllardan çıkmayacak. Beklenmedik, heyecanlı, karşılıksız, tutkulu, uygunsuz, engellenemez, anlatılamaz...Noele'e tam 1 hafta kala Aşk Her Yerde. Karı-koca, sevgili, baba-oğul, rock yıldızı ve menajeri arasında birbirinden farklı tam on hikayenin içinde."
Shaolin Futbolu,"Aksiyon, Komedi","Bir dönem futbol oynadıktan sonra yediği bir kazık sonucu futbol hayatına ara veren bir genç, yıllar sonra kung fu bilen bir grup Shaolin rahibiyle birlikte futbola başlar. Takım zamanla kurulur ama büyür ve işine ruhunu katan bu insanlar örnek bir takım ruhu oluştururlar."
Dogman,"Aksiyon, Dram, Suç","Babası tarafından şiddet gören Douglas evden kovularak köpeklere yem olarak atılır. Fakat beklenenin aksine köpekler Douglas’a saldırmak yerine onu korurlar ve en yakın dostu haline gelirler. Seneler geçtikçe köpeklerle olan bağını kuvvetlendiren ve onları adeta kendi ordusu haline getiren Douglas, bu özel yeteneğini kullanarak hayatta kalmaktan daha fazlasını yapar, sisteme karşı gelip oyunun kurallarını baştan yazar."
Mission: Impossible - Ghost Protocol,"Aksiyon, Gerilim, Macera","Serinin 4. filmi Ghost Protocol'da, Ethan Hunt'ın maceraları kaldığı yerden devam ediyor. Kremlin Sarayı havaya uçurulmuş ve Rusya ""Hayalet Protokolünü"" etkinleştirmiştir. Olayın sorumluluğu birileri tarafından Hunt ve ekibine mal edilmiş bu işten sorumlu tutulmaktadır. Hunt, amirinden de yardım alarak işin arkasında olanları ortaya çıkarmak için özel bir ekip kurar. Aynı zamanda hayatta kalabilmek için amansız bir mücadele içerisine girecektir."
Şimdiye Kadar Ki En İyi Noel Gösterisi,"Komedi, Dram, Aile","Herdmanlar kesinlikle dünyanın en kötü çocuklarıdır. Yalan söyler, hırsızlık ve zorbalık yaparlar. Şimdi de kasabanın Noel gösterisini gasp etmişlerdir. Grace, gösteriyi ilk kez yönetmektedir ama o ve ailesi boyundan büyük bir işe kalkışmıştır, özellikle Herdmanları kovmak isteyen bir kasabaya karşı. Fakat oyunun afacan yıldızları kasabaya Noel'in gerçek anlamını öğretebilirler."
La infiltrada,"Dram, Suç, Gerilim",
Eva,"Dram, Romantik",
Red Notice,"Aksiyon, Komedi, Suç","Dünyanın en çok aranan sanat eseri hırsızı ve onun peşindeki FBI profil uzmanı, daima bir adım önde olan kurnaz bir soyguncuyu yakalamak için gönülsüzce suç ortağı olur."
Jaws,"Korku, Gerilim, Macera",Küçük bir sahil kasabasının tek geçim kaynağı yaz ayları boyunca kasabaya tatil yapmaya gelen turistlerin bıraktığı paradır. Bu kasabanın belediye reisi kasaba sahilinde bir kızın köpekbalığı tarafından öldürülmesini örtbas etmeye çalışır ama küçük bir çocuk herkesin gözü önünde köpekbalığı tarafından öldürülünce balığı yakalayana ödül verileceği açıklanır ve büyük bir köpekbalığı yakalanınca da herkes rahat bir nefes alır. Şerifin yardıma çağırdığı uzman yakalanan köpekbalığının aradıkları balık olmadığını söylese de kimse ona inanmaz. Onun sözünü dinleyen şerif ile balığın peşin gitmeye karar verirler ve bir köpekbalığı avcısı ile yola çıkarlar.
